Employee_ID,Att_Date,Status,Hours Worked 
E0009,08 Jan 2025,Present,8
E0009,01/09/2025,P,9
E0009,10 Jan 2025,present,8
E0009,13-01-2025,P,8
E0009,2025-01-14,P,8
E0009,01/15/2025,Present,8
E0009,01/16/2025,P,8
E0009,20-01-2025,PRESENT,7.5
E0009,01/21/2025,present,8
E0009,22 Jan 2025,Present,8
E0009,01/24/2025,present,9
E0009,28-01-2025,present,9
E0009,01/30/2025,Present,8
E0009,31 Jan 2025,PRESENT,7
E0009,04-02-2025,PRESENT,7
E0009,02/05/2025,L,
E0009,07 Feb 2025,Present,8
E0009,10-02-2025,P,8
E0009,11 Feb 2025,PRESENT,8
E0009,2025-02-13,Present,8
E0009,2025-02-14,present,8
E0009,2025-02-18,Leave,
E0009,02/19/2025,P,9
E0009,02/20/2025,present,8
E0009,2025-02-21,PRESENT,8
E0009,02/24/2025,present,8
E0009,02/25/2025,present,8
E0009,2025-02-26,Present,7.5
E0009,27 Feb 2025,PRESENT,8
E0009,02/28/2025,PRESENT,7.5
E0009,03/03/2025,PRESENT,8
E0009,04-03-2025,Present,8
E0009,2025-03-06,P,9
E0009,07 Mar 2025,L,
E0009,2025-03-10,P,7
E0009,12-03-2025,present,7.5
E0009,13 Mar 2025,Work From Home,8
E0009,14 Mar 2025,On Leave,
E0010,2025-01-03,P,9
E0010,06-01-2025,P,8
E0010,07-01-2025,P,9
E0010,2025-01-09,Present,7.5
E0010,13 Jan 2025,leave,
E0010,01/14/2025,Present,9
E0010,16-01-2025,absent,
E0010,17 Jan 2025,present,8
E0010,01/20/2025,P,8
E0010,01/22/2025,PRESENT,9
E0010,2025-01-23,P,9
E0010,01/24/2025,P,9
E0010,01/28/2025,present,8
E0010,29-01-2025,On Leave,
E0010,01/31/2025,P,8
E0010,03 Feb 2025,PRESENT,7
E0010,05 Feb 2025,Leave,
E0010,06 Feb 2025,P,8
E0010,02/10/2025,PRESENT,8
E0010,2025-02-11,Present,9
E0010,2025-02-12,Present,9
E0010,13 Feb 2025,WFH,7
E0010,02/14/2025,PRESENT,8
E0010,2025-02-17,WFH,8
E0010,18 Feb 2025,Leave,
E0010,2025-02-19,present,7
E0010,02/20/2025,present,9
E0010,2025-02-21,Present,8
E0010,24 Feb 2025,PRESENT,7.5
E0010,02/26/2025,present,8
E0010,27-02-2025,WFH,7
E0010,03 Mar 2025,absent,
E0010,03/04/2025,present,7
E0010,2025-03-05,Present,8
E0010,2025-03-06,Present,9
E0010,03/07/2025,Present,7.5
E0010,03/11/2025,Leave,
E0010,2025-03-13,P,8
E0010,2025-03-17,WFH,8
E0010,2025-03-18,Present,7.5
E0010,19-03-2025,present,8
E0010,03/20/2025,wfh,8
E0010,2025-03-24,leave,
E0011,01/02/2025,Present,8
E0011,2025-01-03,PRESENT,7.5
E0011,06-01-2025,Absent,
E0011,01/08/2025,P,8
E0011,2025-01-09,P,9
E0011,01/10/2025,Present,8
E0011,2025-01-14,Present,7
E0011,15 Jan 2025,Present,8
E0011,2025-01-16,PRESENT,7
E0011,2025-01-17,present,8
E0011,01/20/2025,PRESENT,7.5
E0011,2025-01-21,Present,7.5
E0011,01/22/2025,PRESENT,8
E0011,23 Jan 2025,PRESENT,8
E0011,24-01-2025,P,9
E0011,01/27/2025,P,8
E0011,01/29/2025,PRESENT,8
E0011,01/30/2025,Work From Home,8
E0011,31 Jan 2025,A,
E0011,02/03/2025,P,8
E0011,04 Feb 2025,PRESENT,8
E0011,05 Feb 2025,PRESENT,8
E0011,2025-02-07,P,7
E0011,2025-02-11,leave,
E0011,12-02-2025,P,9
E0011,13 Feb 2025,Present,8
E0011,02/17/2025,present,8
E0011,19 Feb 2025,PRESENT,7.5
E0011,02/21/2025,PRESENT,8
E0011,25-02-2025,P,8
E0011,27-02-2025,P,7
E0011,03/04/2025,Present,7
E0011,03/05/2025,Leave,
E0011,06 Mar 2025,PRESENT,8
E0011,2025-03-07,PRESENT,8
E0011,10 Mar 2025,wfh,7
E0011,2025-03-11,Leave,
E0011,2025-03-12,PRESENT,7
E0011,2025-03-13,P,9
E0011,03/17/2025,present,9
E0011,19 Mar 2025,P,8
E0011,20-03-2025,present,7.5
E0011,21 Mar 2025,present,9
E0011,24 Mar 2025,P,8
E0012,02 Jan 2025,P,8
E0012,06 Jan 2025,Present,8
E0012,2025-01-07,PRESENT,8
E0012,2025-01-08,wfh,8
E0012,2025-01-09,Present,7.5
E0012,2025-01-13,Present,9
E0012,14 Jan 2025,Leave,
E0012,2025-01-16,P,8
E0012,2025-01-20,Present,9
E0012,01/21/2025,P,8
E0012,22-01-2025,PRESENT,9
E0012,23-01-2025,present,8
E0012,2025-01-24,PRESENT,8
E0012,27 Jan 2025,On Leave,
E0012,01/28/2025,absent,
E0012,30-01-2025,Present,8
E0012,31 Jan 2025,present,8
E0012,2025-02-03,present,7.5
E0012,02/04/2025,Present,7
E0012,02/06/2025,PRESENT,8
E0012,10 Feb 2025,present,8
E0012,2025-02-11,P,8
E0012,2025-02-12,PRESENT,8
E0012,13 Feb 2025,Present,8
E0012,17-02-2025,present,8
E0012,18 Feb 2025,Absent,
E0012,02/19/2025,P,8
E0012,20-02-2025,Present,7
E0012,21-02-2025,wfh,7.5
E0012,02/24/2025,present,7
E0012,25 Feb 2025,Present,9
E0012,02/26/2025,PRESENT,8
E0012,27 Feb 2025,Present,8
E0012,02/28/2025,Work From Home,8
E0012,03 Mar 2025,present,8
E0012,04 Mar 2025,Present,7.5
E0012,2025-03-05,Present,8
E0012,2025-03-06,Present,8
E0012,11 Mar 2025,Present,7
E0012,12-03-2025,PRESENT,8
E0012,14-03-2025,P,9
E0014,2025-01-03,PRESENT,8
E0014,2025-01-06,Present,8
E0014,01/07/2025,leave,
E0014,01/08/2025,P,9
E0014,2025-01-09,Present,9
E0014,01/14/2025,present,7
E0014,15 Jan 2025,present,8
E0014,2025-01-16,A,
E0014,2025-01-20,WFH,7
E0014,21-01-2025,Present,8
E0014,22 Jan 2025,A,
E0014,23-01-2025,present,7
E0014,24-01-2025,Present,8
E0014,27-01-2025,Present,8
E0014,29-01-2025,Present,7
E0014,01/31/2025,present,7
E0014,03 Feb 2025,A,
E0014,02/04/2025,present,8
E0014,05-02-2025,PRESENT,7
E0014,2025-02-06,P,7.5
E0014,07-02-2025,Present,7.5
E0014,10-02-2025,P,7
E0014,2025-02-11,Present,9
E0014,02/13/2025,P,9
E0014,14 Feb 2025,PRESENT,8
E0014,17-02-2025,wfh,9
E0014,2025-02-18,Present,9
E0014,19-02-2025,present,7.5
E0014,02/20/2025,present,8
E0014,21 Feb 2025,Present,7.5
E0014,2025-02-24,Present,7
E0014,25 Feb 2025,PRESENT,8
E0014,02/26/2025,Present,8
E0014,27-02-2025,absent,
E0014,2025-02-28,L,
E0014,03-03-2025,PRESENT,7.5
E0014,04 Mar 2025,present,9
E0014,05 Mar 2025,present,7
E0014,03/07/2025,P,7.5
E0014,03/10/2025,present,8
E0014,03/11/2025,WFH,8
E0014,03/12/2025,Present,8
E0014,13 Mar 2025,L,
E0014,03/14/2025,present,8
E0014,17 Mar 2025,P,7.5
E0014,03/19/2025,P,9
E0015,01/02/2025,present,8
E0015,03 Jan 2025,Present,7
E0015,06-01-2025,P,9
E0015,08-01-2025,Present,8
E0015,2025-01-10,WFH,8
E0015,13 Jan 2025,PRESENT,7.5
E0015,14 Jan 2025,Work From Home,7.5
E0015,15 Jan 2025,absent,
E0015,16 Jan 2025,Leave,
E0015,2025-01-17,PRESENT,8
E0015,2025-01-20,Present,8
E0015,21-01-2025,PRESENT,8
E0015,01/22/2025,Present,8
E0015,23-01-2025,WFH,8
E0015,27 Jan 2025,PRESENT,8
E0015,28 Jan 2025,PRESENT,8
E0015,2025-01-30,Present,8
E0015,03-02-2025,P,7
E0015,05-02-2025,leave,
E0015,02/06/2025,Present,9
E0015,10 Feb 2025,Present,8
E0015,11-02-2025,P,8
E0015,2025-02-12,Present,7.5
E0015,14 Feb 2025,PRESENT,8
E0015,2025-02-17,PRESENT,7.5
E0015,02/18/2025,PRESENT,7
E0015,02/19/2025,present,8
E0015,02/20/2025,present,9
E0015,02/21/2025,Present,8
E0015,24-02-2025,present,8
E0015,25 Feb 2025,WFH,8
E0015,26 Feb 2025,Present,7
E0015,02/28/2025,P,8
E0015,03/03/2025,PRESENT,8
E0015,05 Mar 2025,Present,9
E0015,06-03-2025,Present,8
E0015,03/11/2025,PRESENT,7
E0015,03/12/2025,absent,
E0015,13-03-2025,P,9
E0015,2025-03-18,Present,9
E0015,20 Mar 2025,P,8
E0016,2025-01-02,PRESENT,8
E0016,06 Jan 2025,P,9
E0016,08 Jan 2025,P,9
E0016,09-01-2025,A,
E0016,2025-01-10,P,8
E0016,2025-01-13,P,9
E0016,01/15/2025,P,9
E0016,16 Jan 2025,P,8
E0016,2025-01-17,absent,
E0016,2025-01-21,Present,7.5
E0016,22-01-2025,wfh,8
E0016,01/23/2025,P,9
E0016,24-01-2025,PRESENT,8
E0016,27 Jan 2025,PRESENT,9
E0016,01/28/2025,Present,8
E0016,01/29/2025,P,9
E0016,30 Jan 2025,PRESENT,8
E0016,31-01-2025,PRESENT,8
E0016,2025-02-03,present,8
E0016,2025-02-04,A,
E0016,2025-02-05,PRESENT,7
E0016,06 Feb 2025,PRESENT,8
E0016,02/10/2025,present,8
E0016,11-02-2025,A,
E0016,02/13/2025,Present,7
E0016,2025-02-14,PRESENT,9
E0016,02/17/2025,leave,
E0016,02/18/2025,Present,7.5
E0016,02/19/2025,PRESENT,7.5
E0016,20-02-2025,Work From Home,9
E0016,21-02-2025,P,8
E0016,24-02-2025,A,
E0016,26-02-2025,PRESENT,7
E0016,02/27/2025,Present,7
E0016,28-02-2025,PRESENT,7
E0016,03-03-2025,present,8
E0016,03/04/2025,Absent,
E0016,05-03-2025,WFH,8
E0016,06 Mar 2025,wfh,9
E0016,07-03-2025,present,8
E0016,11-03-2025,present,8
E0016,03/12/2025,Present,8
E0016,14-03-2025,PRESENT,8
E0017,02 Jan 2025,P,8
E0017,03 Jan 2025,P,7.5
E0017,2025-01-06,Present,8
E0017,07-01-2025,P,9
E0017,01/09/2025,Present,7
E0017,01/13/2025,Present,9
E0017,01/14/2025,present,8
E0017,16 Jan 2025,P,9
E0017,17 Jan 2025,PRESENT,9
E0017,2025-01-20,P,8
E0017,2025-01-21,Present,7
E0017,23-01-2025,present,7
E0017,24-01-2025,absent,
E0017,2025-01-27,PRESENT,7.5
E0017,01/28/2025,P,8
E0017,2025-01-29,P,8
E0017,30-01-2025,A,
E0017,31 Jan 2025,WFH,8
E0017,02/03/2025,Present,7
E0017,04 Feb 2025,On Leave,
E0017,06-02-2025,P,8
E0017,10-02-2025,present,8
E0017,2025-02-12,P,8
E0017,13-02-2025,Present,8
E0017,14-02-2025,absent,
E0017,17 Feb 2025,PRESENT,8
E0017,02/18/2025,present,7.5
E0017,19-02-2025,Present,8
E0017,20 Feb 2025,PRESENT,7
E0017,24-02-2025,P,8
E0017,25-02-2025,P,8
E0017,27 Feb 2025,present,8
E0017,28 Feb 2025,PRESENT,8
E0017,03/03/2025,Present,8
E0017,04 Mar 2025,PRESENT,8
E0017,05-03-2025,Present,9
E0017,03/06/2025,P,8
E0017,2025-03-07,A,
E0017,10 Mar 2025,PRESENT,7.5
E0017,03/12/2025,P,9
E0017,13 Mar 2025,present,8
E0017,14 Mar 2025,P,8
E0017,2025-03-17,present,7.5
E0017,03/19/2025,Present,9
E0017,03/21/2025,PRESENT,9
E0017,25-03-2025,present,7.5
E0019,02-01-2025,P,8
E0019,2025-01-03,present,7
E0019,06-01-2025,Work From Home,7
E0019,07 Jan 2025,PRESENT,7
E0019,01/08/2025,Present,8
E0019,2025-01-09,Present,8
E0019,13 Jan 2025,PRESENT,8
E0019,14-01-2025,WFH,7.5
E0019,15 Jan 2025,PRESENT,8
E0019,16 Jan 2025,Leave,
E0019,17 Jan 2025,Present,8
E0019,20 Jan 2025,WFH,8
E0019,21-01-2025,Absent,
E0019,22 Jan 2025,present,8
E0019,23-01-2025,PRESENT,9
E0019,24-01-2025,L,
E0019,01/27/2025,present,8
E0019,28 Jan 2025,leave,
E0019,29 Jan 2025,Present,8
E0019,31 Jan 2025,Work From Home,9
E0019,2025-02-03,PRESENT,8
E0019,02/05/2025,Present,9
E0019,07-02-2025,Absent,
E0019,10-02-2025,PRESENT,8
E0019,11 Feb 2025,present,8
E0019,02/12/2025,present,8
E0019,13-02-2025,Absent,
E0019,02/17/2025,P,8
E0019,02/18/2025,wfh,9
E0019,02/19/2025,WFH,8
E0019,2025-02-20,P,8
E0019,21-02-2025,PRESENT,7.5
E0019,24 Feb 2025,P,9
E0019,2025-02-25,present,7.5
E0019,26 Feb 2025,P,7.5
E0019,02/27/2025,PRESENT,9
E0019,2025-03-04,Absent,
E0019,2025-03-05,P,7.5
E0019,2025-03-07,P,7.5
E0019,2025-03-10,P,9
E0019,2025-03-11,Present,7
E0019,12-03-2025,PRESENT,8
E0019,13 Mar 2025,P,8
E0019,03/14/2025,Present,8
E0020,01/02/2025,PRESENT,8
E0020,2025-01-03,P,7.5
E0020,2025-01-06,Work From Home,8
E0020,2025-01-08,PRESENT,8
E0020,09 Jan 2025,present,8
E0020,01/10/2025,P,7
E0020,01/13/2025,P,8
E0020,15 Jan 2025,P,7
E0020,16 Jan 2025,wfh,8
E0020,2025-01-20,Present,7.5
E0020,2025-01-21,A,
E0020,01/22/2025,Present,8
E0020,24-01-2025,WFH,8
E0020,2025-01-27,Present,8
E0020,28-01-2025,Absent,
E0020,2025-01-29,P,8
E0020,30 Jan 2025,Present,9
E0020,01/31/2025,wfh,8
E0020,03-02-2025,Present,9
E0020,02/05/2025,PRESENT,7.5
E0020,07 Feb 2025,present,7.5
E0020,2025-02-10,present,7
E0020,2025-02-12,A,
E0020,02/13/2025,Present,8
E0020,2025-02-17,L,
E0020,02/19/2025,P,8
E0020,2025-02-21,Present,7
E0020,24-02-2025,present,8
E0020,2025-02-25,Present,8
E0020,02/26/2025,wfh,8
E0020,28-02-2025,Present,8
E0020,2025-03-04,P,9
E0020,05-03-2025,Present,8
E0020,03/06/2025,P,7.5
E0020,10 Mar 2025,PRESENT,8
E0020,03/12/2025,PRESENT,8
E0020,13-03-2025,PRESENT,9
E0020,17 Mar 2025,Present,7.5
E0020,2025-03-19,P,8
E0020,03/21/2025,Absent,
E0021,01/02/2025,Present,9
E0021,01/03/2025,present,9
E0021,06 Jan 2025,P,7.5
E0021,08 Jan 2025,present,7.5
E0021,01/10/2025,P,8
E0021,14 Jan 2025,Present,7
E0021,16-01-2025,leave,
E0021,20-01-2025,P,7.5
E0021,21-01-2025,PRESENT,8
E0021,22 Jan 2025,L,
E0021,23 Jan 2025,PRESENT,8
E0021,2025-01-24,present,8
E0021,27 Jan 2025,PRESENT,8
E0021,28 Jan 2025,L,
E0021,01/29/2025,Absent,
E0021,30 Jan 2025,Present,9
E0021,31 Jan 2025,present,8
E0021,02/03/2025,Work From Home,8
E0021,2025-02-04,Present,8
E0021,05-02-2025,present,8
E0021,02/06/2025,Present,8
E0021,2025-02-07,P,8
E0021,10-02-2025,Leave,
E0021,12-02-2025,Absent,
E0021,13-02-2025,Absent,
E0021,02/14/2025,present,8
E0021,17-02-2025,P,9
E0021,18-02-2025,PRESENT,7.5
E0021,02/19/2025,P,7
E0021,2025-02-21,present,7
E0021,24 Feb 2025,present,7.5
E0021,25 Feb 2025,P,8
E0021,2025-02-27,wfh,9
E0021,28-02-2025,Present,9
E0021,03-03-2025,present,8
E0021,05-03-2025,present,8
E0021,2025-03-06,PRESENT,9
E0021,03/07/2025,PRESENT,8
E0021,2025-03-11,P,9
E0021,13-03-2025,PRESENT,7
E0021,2025-03-14,present,8
E0021,17-03-2025,present,7
E0021,18 Mar 2025,PRESENT,9
E0021,2025-03-19,PRESENT,8
E0021,2025-03-20,Present,8
E0022,01/02/2025,present,9
E0022,03 Jan 2025,present,9
E0022,06 Jan 2025,present,8
E0022,07-01-2025,P,8
E0022,01/08/2025,present,8
E0022,10 Jan 2025,P,8
E0022,13 Jan 2025,P,9
E0022,01/15/2025,Absent,
E0022,17-01-2025,present,9
E0022,2025-01-20,present,8
E0022,21-01-2025,P,7
E0022,01/22/2025,Present,8
E0022,2025-01-23,PRESENT,8
E0022,2025-01-27,P,7
E0022,28-01-2025,P,7
E0022,29 Jan 2025,Present,8
E0022,30 Jan 2025,PRESENT,8
E0022,31 Jan 2025,P,8
E0022,03 Feb 2025,A,
E0022,05-02-2025,P,8
E0022,07-02-2025,Present,7.5
E0022,02/10/2025,Present,8
E0022,02/12/2025,Present,7
E0022,13 Feb 2025,present,7.5
E0022,2025-02-14,A,
E0022,17 Feb 2025,Present,8
E0022,2025-02-18,PRESENT,8
E0022,02/19/2025,Present,8
E0022,02/20/2025,PRESENT,7
E0022,21-02-2025,wfh,7.5
E0022,24-02-2025,PRESENT,8
E0022,25 Feb 2025,PRESENT,8
E0022,02/26/2025,present,8
E0022,2025-02-28,P,7
E0022,04-03-2025,Present,8
E0022,06-03-2025,Present,8
E0022,07 Mar 2025,present,8
E0022,03/10/2025,On Leave,
E0022,11 Mar 2025,present,7.5
E0022,2025-03-13,P,8
E0022,2025-03-14,P,8
E0022,2025-03-17,On Leave,
E0022,18-03-2025,Present,8
E0023,2025-01-03,present,9
E0023,2025-01-06,PRESENT,9
E0023,2025-01-07,wfh,8
E0023,01/08/2025,PRESENT,8
E0023,01/10/2025,Work From Home,7
E0023,01/13/2025,Present,9
E0023,15-01-2025,P,8
E0023,16-01-2025,P,9
E0023,2025-01-17,Work From Home,8
E0023,20-01-2025,A,
E0023,21-01-2025,present,8
E0023,2025-01-22,PRESENT,9
E0023,01/23/2025,PRESENT,9
E0023,2025-01-24,Work From Home,7
E0023,2025-01-27,P,7
E0023,01/29/2025,present,9
E0023,2025-01-30,Present,7.5
E0023,01/31/2025,leave,
E0023,04-02-2025,P,9
E0023,05-02-2025,P,8
E0023,02/07/2025,Present,9
E0023,11 Feb 2025,PRESENT,7
E0023,02/12/2025,Present,9
E0023,02/14/2025,WFH,7.5
E0023,17 Feb 2025,Present,7
E0023,2025-02-19,A,
E0023,2025-02-20,P,7.5
E0023,02/21/2025,A,
E0023,24-02-2025,P,8
E0023,2025-02-25,WFH,8
E0023,26 Feb 2025,Absent,
E0023,27-02-2025,P,7
E0023,28 Feb 2025,PRESENT,8
E0023,03 Mar 2025,Present,8
E0023,05-03-2025,A,
E0023,2025-03-06,Present,8
E0023,07-03-2025,Present,8
E0023,10 Mar 2025,P,9
E0023,03/11/2025,Present,7
E0023,03/12/2025,PRESENT,8
E0023,2025-03-13,PRESENT,8
E0023,03/14/2025,present,7
E0023,03/17/2025,present,9
E0023,18 Mar 2025,P,9
E0023,2025-03-19,leave,
E0025,01/02/2025,Present,8
E0025,01/03/2025,present,8
